u10,v10,d2m,t2m,evabs,sp,sshf,tp,swvli,swvl1,swvl2
-1.1448,-1.2481,287.07,301.34,-0.00072375,89340,-1.8758e+06,0,0.30382,0.30214,0.35196
-0.88042,0.34791,288.91,296.44,-1.1871e-05,95713,82565,0,0.37717,0.37735,0.39937
-1.3646,0.44519,294.97,295.71,-1.2175e-06,95446,65957,1.3035e-05,0.37756,0.37599,0.35412
2.259,1.2519,294.04,294.69,-7.6096e-08,97660,3.7141e+05,0.0066218,0.41736,0.40883,0.3669
-0.54318,-0.85431,295.99,299.44,-0.0020073,96869,-1.87e+06,0.0022095,0.36264,0.3623,0.36795
0.8033,3.1869,295.71,297.83,-5.4028e-06,96883,69568,0.00011732,0.31465,0.31459,0.34266
-1.9902,0.87892,272.07,298.17,-3.8048e-07,95083,-2.3061e+06,0,0.00019676,4.6847e-05,0.024669
0.98454,1.9172,294.81,295.46,0,96487,82565,0.00029981,0.46521,0.46855,0.3732
-1.1312,-0.2018,295.69,296.04,0,1.0101e+05,31296,0.0028221,0.42328,0.4281,0.45793
-0.13766,2.6487,293.25,303.85,-0.00018567,96374,-8.5111e+05,0,0.10921,0.10914,0.15443
-0.26966,2.0174,295.11,302.76,-0.0012226,96651,-1.5624e+06,0.00017597,0.4073,0.39657,0.36635
1.736,0.61851,295.2,303.19,-0.00042842,96733,-1.6728e+05,0,0.23158,0.22381,0.24648
3.7723,2.1699,294.08,302.41,-0.002018,96436,-2.0065e+06,0.0011862,0.42154,0.41534,0.41606
1.129,-0.20307,294.59,296.57,-9.8164e-06,97959,1.4683e+05,0,0.39631,0.39611,0.39984
0.95558,1.9477,296.05,297.31,-8.751e-06,99335,2.2626e+05,0,0.30193,0.30178,0.29825
-0.43435,-0.58838,292.51,293.47,-0.0011315,88682,-3.6659e+06,0.016098,0.39725,0.39478,0.38588
0.2091,0.32284,295.81,304.37,-0.0023031,98066,-2.3986e+06,3.9105e-05,0.24161,0.2357,0.25881
-0.67684,1.698,294.8,296,-4.5658e-06,96816,1.0567e+05,0,0.28059,0.27738,0.26645
2.1287,2.7387,292.3,299.92,0,96837,89064,0,0.026824,0.026731,0.0048252
-2.2766,-0.89169,280.37,293.54,-4.718e-06,97855,1.0134e+05,0,0.17655,0.17656,0.24784
-1.9269,-2.393,280.29,295.61,-0.0017588,90759,-7.5507e+05,6.5176e-06,0.12268,0.12242,0.19147
-1.0302,0.21282,282.19,311.29,0,1.0062e+05,-1.7184e+06,0,0.007814,0.0075798,0.030338
0.80248,1.8139,294.56,297.82,-0.0017478,98212,-1.7212e+06,0.00040409,0.28661,0.26619,0.26942
0.031165,-1.0837,294.69,297.66,-0.0018816,93481,-2.1697e+06,0.0081991,0.42689,0.41502,0.4031
-2.8451,-4.1101,274.84,302.69,-6.0116e-06,96650,-3.1069e+06,0,0.020463,0.020434,0.048664
1.5105,2.0008,293.88,295.95,-5.1745e-05,98217,-12752,9.7763e-05,0.45429,0.45555,0.46961
1.5465,1.6886,294.75,297.49,-4.9462e-06,97562,3.2158e+05,0,0.13564,0.13327,0.062343
2.6112,-0.80716,291.1,306.31,-0.00075183,93712,-1.5443e+06,0,0.24122,0.23152,0.17269
3.0779,0.71919,296.18,304.45,-0.000779,97703,-6.1498e+05,0,0.10569,0.09938,0.17601
2.708,3.4444,295.65,299.13,0,97807,2.2554e+05,0,0.037552,0.03729,0.029616
1.9561,2.6992,296.34,297.89,0,97531,39239,0,0.15109,0.15039,0.059795
-1.3418,-1.701,273.21,303.46,-9.2837e-06,97931,-4.5959e+06,0,0.04799,0.04799,0.060395
3.795,-0.28166,294.51,301.77,0,1.0034e+05,37073,0,0.0068677,0.006849,0.037074
0.36965,-1.0264,296.89,299.71,-0.0021088,98886,-1.4685e+06,0.0019618,0.40067,0.4007,0.40043
-1.6133,-0.76,278.53,292.49,-5.2278e-05,93531,6.6458e+05,0,0.12935,0.12933,0.19194
-0.57504,0.27314,295.4,303.34,-0.0026355,98521,-3.559e+06,0.00035847,0.40441,0.4056,0.4272
0.54634,1.9686,295.99,299.77,-0.0006077,95493,-6.2148e+05,0.00056051,0.3906,0.38983,0.42235
-0.82953,0.085797,278.8,308.32,-0.0013347,93775,-2.4116e+06,0,0.1214,0.12097,0.18631
-0.69959,0.60789,287.61,292.63,-1.6741e-06,88869,21187,0,0.20276,0.20346,0.26746
-3.9669,-1.9066,270.25,295.11,-5.555e-06,90711,-1.4201e+05,0,0.020519,0.020444,0.097872
-3.0086,-2.0735,295.27,298.89,-0.0016749,97344,-3.6918e+06,0.002405,0.17652,0.18468,0.096738
1.4186,2.1635,293.73,308.54,-1.0273e-05,97505,-5.5166e+06,0.00018249,0.026393,0.02837,0.084089
1.1285,1.4078,295.21,296.28,-1.3697e-06,99254,71012,5.8658e-05,0.42988,0.43488,0.46736
-3.9855,-3.6729,270.98,291.02,0,91237,-5.3801e+06,0,0.010953,0.011018,0.14854
-2.8617,-4.3845,278.64,312.48,0,95349,-4.6378e+06,0,0.0079452,0.0078608,1.8739e-05
-3.1348,-4.5493,277,302.41,-1.0653e-06,97343,-3.3142e+06,0,0.013473,0.013501,0.13605
1.0839,2.0675,290.88,299.36,-0.0016911,96863,-2.6008e+06,0,0.27641,0.27629,0.29948
0.17806,2,291.08,296.95,-7.6096e-08,91087,-4.2645e+06,0.0001499,0.01797,0.018308,0.1615
1.5407,-1.2761,288.48,307.28,0,96386,-2.5184e+06,0,0.027283,0.026899,0.016574
1.035,1.4737,293.2,294.21,-7.6096e-08,92620,91953,0,0.39626,0.39607,0.40235
-3.801,-0.67631,279.01,306.44,0,97079,-2.1538e+06,0,0.008854,0.0088071,0.0043192
-1.6219,-0.71242,279.66,303.58,-9.6718e-05,96262,-2.7199e+05,0,0.19813,0.19809,0.27814
-3.6979,-1.7065,273.56,293.88,-1.2556e-05,95182,6.1692e+05,0,0.091248,0.091276,0.13945
2.3943,1.6763,293.41,296.11,-3.196e-06,96682,96285,0,0.20301,0.20191,0.15227
-1.0737,2.0327,279.23,297.76,0,97250,-1.662e+06,0,0.0033261,0.0033074,0.078843
-0.24028,-0.27189,293.78,303.55,-0.0025533,96143,-5.3223e+06,0.0018836,0.44485,0.47779,0.48755
0.45406,0.70135,294.73,301.03,-0.00047925,98015,-4.0918e+05,0.0001108,0.2042,0.20334,0.20497
-1.636,-0.68693,280.33,307.31,0,97349,-2.1068e+06,0,0.012115,0.011936,0.02852
0.57944,2.8037,296.99,298.8,-0.002032,97316,-3.3907e+06,0.01284,0.28416,0.27487,0.19031
-0.6429,0.44646,286.73,298.99,-0.0019751,96182,-4.7165e+06,0,0.16002,0.16004,0.22449
-0.3578,0.63041,296.33,298.15,-0.0019701,98315,-2.0195e+06,0.0051815,0.40169,0.39684,0.37359
2.5429,2.0973,293.35,303.03,-0.00079924,93375,-5.6227e+06,0.00024767,0.21616,0.21425,0.1498
2.8561,2.189,293.42,302.4,-0.00033094,94781,-3.6153e+05,0,0.23425,0.2266,0.22478
-2.8666,1.22,273.38,309.1,-3.0438e-07,96440,-9.2115e+05,0,0.024735,0.024594,0.25331
0.24882,1.3432,294.78,295.06,0,98544,43572,0.00039105,0.42534,0.42162,0.37155
1.4194,-0.46731,291.14,302.77,-0.00044828,96278,-1.0728e+06,0,0.18648,0.18456,0.241
0.016682,2.0552,295.97,302.12,-0.0014556,94728,-1.3725e+06,0.00016946,0.41862,0.41342,0.4432
-0.81463,-3.9486,277.09,304.34,-4.8397e-05,97435,-5.4819e+06,0,0.12353,0.12355,0.14948
-0.42028,-0.80886,276.01,292.53,0,85172,21909,0,0.0076922,0.0076735,7.4954e-05
0.88399,1.5697,294.63,297.02,-6.1562e-05,97785,77511,3.9105e-05,0.36706,0.36479,0.3557
0.52689,1.6143,296.14,298.22,-0.0011026,98285,-1.1125e+06,0.0079254,0.37516,0.37176,0.33218
1.0479,-0.51786,296.22,298.49,-0.0020754,98064,-3.533e+06,0.0019031,0.13213,0.13219,0.15868
0.36551,1.6933,293.06,294.23,-2.2829e-07,93780,10355,0.0042038,0.41446,0.41038,0.40577
0.8542,-0.61089,295.93,303.2,-0.0011611,96232,-9.5365e+05,0,0.36249,0.3523,0.36017
0.71061,-1.4146,282.9,297.25,-0.001265,97483,-5.8437e+06,0,0.060048,0.060048,0.087341
